REGISTRATION DATE,NAME,ADDL CO INFO,ADDRESS 1,ADDRESS 2,CITY,STATE,ZIP
3/3/2003,MARION COUNTY SHERIFF'S DEPT,,"(B6), SHERIFF",2715 EAST HIGHWAY 76,MULLINS,SC,29574
10/8/2003,(B6),DEPARTMENT OF VETERANS AFFAIRS,NORTH CALIFORNIA HEALTH CARE S,(119) 10535 HOSPITAL WAY,MATHER,CA,95655
1/13/2003,BENZIE COUNTY SHERIFF'S DEPARTMENT,SERGEANT (B6),505 SOUTH MICHIGAN,,BEULAH,MI,49617
12/18/2002,TOLONO POLICE DEPARTMENT,,507 W STRONG,PO BOX 667,TOLONO,IL,61880
1/28/2003,902D  SECURITY FORCES SQUADRON,,925 3RD STREET WEST,,JBSA RANDOLPH,TX,78150
3/3/2003,TOWN OF MILLTOWN POLICE DEPT,,"(B6), POLICE CHIEF",212 HANCOCK STREET,MILLTOWN,IN,47145
1/28/2003,MCALLEN TEXAS POLICE DEPT,,PO BOX 220,1601 BICENTENNIAL BLVD.,MCALLEN,TX,78501
2/20/2003,GARRETT POLICE DEPARTMENT,,200 N COWEN STREET,,GARRETT,IN,46738
12/4/2002,PAULDING COUNTY SHERIFFS OFC,,247 INDUSTRIAL WAY NORTH,K -9 DIVISION,DALLAS,GA,30132
2/26/2003,WOOD COUNTY,ATTN: K-9 UNIT,400 MARKET STREET,,WISCONSIN RAPIDS,WI,54495
7/18/2003,PANAMA CITY POLICE DEPARTMENT,ATTN: K-9 UNIT,1209 EAST 15TH STREET,,PANAMA CITY,FL,32405
2/12/2003,SHELBY POLICE DEPARTMENT,,POST OFFICE BOX 207,311 SOUTH LAFAYETTE STREET,SHELBY,NC,28150
10/15/2003,(B6),LAFOLLETTE K-9 TRAINING CENTER,4085 N FARM ROAD 249,,STRAFFORD,MO,65757
8/21/2003,"VEOLIA ES TECHNICAL SOLUTIONS, L.L.C.","VEOLIA ES TECHNICAL SOLUTIONS, L.L.C.",W124 N9451 BOUNDARY ROAD,,MENOMONEE FALLS,WI,53051
9/17/2003,EAST CAROLINA UNIV (B6),,DEPT PHARMACOLOGY & TOX,600 MOYE BLVD,GREENVILLE,NC,27834
6/9/2003,DAWSON COUNTY SHERIFF'S OFFICE,,19 TUCKER AVE,,DAWSONVILLE,GA,30534
4/29/2003,FOX CHAPEL BOROUGH POLICE,,"K-9 UNIT, (B6)",401 FOX CHAPEL ROAD,PITTSBURGH,PA,15238
9/23/2003,(B6),PRIVATE CANINE TRAINER,6760 SYPES CANYON ROAD,,BOZEMAN,MT,59715
4/7/2003,MERIDIAN POLICE DEPARTMENT,(B6),1401 E WATERTOWER STREET,,MERIDIAN,ID,83642
4/16/2003,TETON COUNTY SHERIFF'S OFFICE,"ATTN: (B6), PATROL DEPUTY, K-9 HANDLER",180 SOUTH KING STREET,P. O. BOX 1885,JACKSON,WY,83001
8/4/2003,CAVE SPRINGS POLICE DEPT,,134 N. MAIN STREET,P.O. BOX 65,CAVE SPRINGS,AR,72718
3/26/2003,SEMINOLE COUNTY SHERIFF'S OFC,,"K-9 UNIT, SPEC. OPERATIONS",100 BUSH BLVD.,SANFORD,FL,32773
3/20/2003,KENTON COUNTY POLICE DEPT,,11777 MADISON PIKE,,INDEPENDENCE,KY,41051
4/4/2003,USDA FOREST SERVICE,LAW ENFORCEMENT,(B6),1700 BYPASS ROAD,WINCHESTER,KY,40391
4/2/2003,GLOUCESTER TOWNSHIP POLICE,,(B6),1261 CHEWSLANDING ROAD,LAUREL SPRINGS,NJ,08021
3/14/2003,BULLARD POLICE DEPARTMENT,,114 S. PHILLIPS,P.O. BOX 109,BULLARD,TX,75757
4/23/2003,ROSWELL POLICE DEPARTMENT,,(B6),39 HILL STREET,ROSWELL,GA,30075
5/27/2003,HUB CITY CANINE CONSULTANT,,362 LYNN RAY ROAD,,PETAL,MS,39465
5/13/2003,FALCO ENTERPRISES INC,,"615 N BERRY STREET, SUITE F",,BREA,CA,92821
6/9/2003,COMMANDING OFFICER,,NAVAL STATION MAYPORT SECURITY CANINE,P.O. BOX 280024,JACKSONVILLE,FL,32228
5/20/2003,WASHINGTON POLICE DEPARTMENT,,101 N.E. 3RD STREET,,WASHINGTON,IN,47501
12/9/2003,CANTON POLICE DEPARTMENT,,2 N. MAIN STREET,,CANTON,IL,61520
6/18/2003,VENANGO CO PROBATION DEPT,K9-UNIT,VENANGO COUNTY PRISON,1186 ELK STREET,FRANKLIN,PA,16323
4/24/2003,DUMAS POLICE DEPARTMENT,,124 E. 7TH,,DUMAS,TX,79029
10/6/2003,K-9 SEARCH ON SITE,,1002 FLOYD CULLER COURT,P.O. BOX 4277,OAK RIDGE,TN,37830
5/16/2003,PINELLAS COUNTY,,CANINE UNIT,10750 ULMERTON ROAD,LARGO,FL,33778
12/11/2003,COAST TO COAST K-9 INC,,2800 LINCOLN WAY,,WHITE OAK,PA,15131
4/16/2003,MOUNTAIN HOME POLICE DEPT,,2775 EAST 8TH NORTH,,MOUNTAIN HOME,ID,83647
5/2/2003,WHEELING POLICE DEPARTMENT,,K-9 DIVISION,1500 CHAPLINE STREET,WHEELING,WV,26003
5/13/2003,ST CHARLES POLICE DEPARTMENT,ST. CHARLES POLICE DEPARTMENT,211 N. RIVERSIDE AVE,,ST CHARLES,IL,60174
3/19/2004,SD STATE PENITENTIARY,MIKE DURFEE STATE PRISON,(B6) - K-9 HANDLER,1412 WOOD STREET,SPRINGFIELD,SD,57062
9/18/2003,OLMSTED CO/ROCHESTER K9 UNIT,,"101 4TH STREET, S.E.",,ROCHESTER,MN,55904
6/3/2003,MT VERNON POLICE DEPARTMENT,,211 NORTH TENTH,,MOUNT VERNON,IL,62864
6/9/2004,AUSTELL POLICE DEPARTMENT,K9 HANDLER,2721 JOE JERKINS BLVD.,,AUSTELL,GA,30106
7/24/2003,HSM CONSULTING,(B6),P. O. BOX 814722,4740 N 36 COURT,HOLLYWOOD,FL,33021
7/2/2003,COVINGTON POLICE DEPARTMENT,,(B6),1143 OAK STREET,COVINGTON,GA,30014
6/12/2003,DEWITT TOWNSHIP POLICE DEPT,,1401 W HERBISON ROAD,,DEWITT,MI,48820
7/25/2003,WHITE PIGEON POLICE DEPARTMENT,ATTN: K-9 UNIT,103 S KALAMAZOO STREET,P.O. BOX 621,WHITE PIGEON,MI,49099
7/11/2003,SPRING BRANCH ISD POLICE DEPT,,9009 RULAND,,HOUSTON,TX,77055
9/12/2003,METRO DADE K-9 SERVICES,,17950 S.W. 168TH STREET,,MIAMI,FL,33187
10/17/2003,ONEIDA COUNTY SHERIFF'S DEPT,,6065 JUDD ROAD,,ORISKANY,NY,13424
10/28/2003,LEBANON BUREAU OF POLICE,,LEBANON MUNICIPAL BLDG.,400 SOUTH 8TH STREET,LEBANON,PA,17042
12/1/2003,MYRTLE BEACH POLICE DEPARTMENT K-9 UNIT,CHIEF (B6),LIMITED TO OFFICIAL COUNTY DUTIES ONLY,3340 MUSTANG STREET,MYRTLE BEACH,SC,29577
10/23/2003,CRAIG POLICE DEPARTMENT,,"(B6), K-9 HANDLER",800 WEST FIRST STREET,CRAIG,CO,81625
2/19/2004,MARYLAND TRANSPORTATION AUTHORITY POLICE,K-9 UNIT,4330 BROENING HIGHWAY,ATTN: 1ST SERGEANT (B6),DUNDALK,MD,21222
12/11/2003,SECURITY DEPARTMENT,,NAVAL AIR STATION,P.O. BOX 31,JACKSONVILLE,FL,32212
11/14/2003,INTERNATIONAL CANINE COLLEGE,ATTN: (B6),4062 LEO LANE,,RIVIERA BEACH,FL,33410
10/9/2003,COMMERCE CITY POLICE DEPT,,K-9,7887 E. 60TH AVE,COMMERCE CITY,CO,80022
10/28/2003,DEER PARK POLICE DEPARTMENT,,2911 CENTER STREET,,DEER PARK,TX,77536
9/4/2003,DANE COUNTY SHERIFF'S OFFICE,K-9 UNIT,"CHIEF TRAINER,(B6)",4000 INTERNATIONAL LN,MADISON,WI,53704
9/4/2003,(B6),,NAVAJO COUNTY SHERRIFF OFFICE,137 W ARIZONA ST,HOLBROOK,AZ,86025
1/13/2004,PECOS COUNTY SHERIFF'S DEPT,SGT (B6),612 SOUTH HWY 349,PO BOX 272,SHEFFIELD,TX,79781
11/24/2003,U S DEPARTMENT VETERAN,AFFAIRS POLICE,10701 EAST BLVD,,CLEVELAND,OH,44106
10/3/2003,(B6),DELAWARE RIVER & BAY AUTHORITY,PO BOX 827,SANDMAN AND LINCOLN BLVDS.,N CAPE MAY,NJ,08204
11/3/2003,GAINESVILLE POLICE DEPARTMENT,,701 QUEEN CITY PARKWAY,,GAINESVILLE,GA,30501
10/23/2003,ROBINSON POLICE DEPT,,P.O. BOX 188,300 S. LINCOLN,ROBINSON,IL,62454
11/21/2003,ORMOND BEACH POLICE DEPT,,170 W. GRANADA BLVD.,,ORMOND BEACH,FL,32174
10/14/2003,MONROE POLICE DEPARTMENT,K9 OFFICER (B6),K9 OFFICER (B6),7 FAN HILL ROAD,MONROE,CT,06468
2/19/2004,"ALBANY MOLECULAR RESEARCH INC,.",,21 CORPORATE CIRCLE,,ALBANY,NY,12203
12/24/2003,BROKEN ARROW POLICE DEPARTMENT,(B6),1101 N. 6TH STREET,,BROKEN ARROW,OK,74012
3/26/2004,(B6),,(B6),,TITUSVILLE,FL,32796
1/9/2004,EL PASO IND SCH DIST POLICE,ATTN: K-9 UNIT,"6531 BOEING, BUILDING B",,EL PASO,TX,79925
12/16/2003,OWEN COUNTY SHERIFF'S DEPT,,102 NORTH MADISON STREET,,OWENTON,KY,40359
11/24/2004,(B6),INSTITUTE OF LIVING-HARTFORD HOSPITAL,WHITEHALL BUILDING,200 RETREAT AVE RM 207,HARTFORD,CT,06106
11/26/2003,WEST HARTFORD POLICE K9 UNIT,,103 RAYMOND RD,,WEST HARTFORD,CT,06107
2/6/2004,VILLAGE OF PLAINFIELD,,DEPARTMENT OF POLICE,14300 S. COIL PLUS DRIVE,PLAINFIELD,IL,60544
3/8/2004,US D O I,(B6),10113 W. US 27,,MAYO,FL,32066
1/5/2004,CENTRAL STATE PRISON K-9 UNIT,,4600 FULTON MILL ROAD,,MACON,GA,31208
12/4/2003,WELD COUNTY SHERIFF'S OFFICE,,"(B6), K9 LIEUTENANT",1950 O STREET,GREELEY,CO,80631
4/28/2004,MCALLEN INDEPENDENT SCHOOL,DISTRICT - POLICE DEPARTMENT,OFFICER (B6),2000 N. 23RD STREET,MCALLEN,TX,78501
12/30/2003,LOUDOUN COUNTY,,ATTN: OFC (B6),803 SYCOLIN ROAD S.E.,LEESBURG,VA,20175
11/20/2003,NEWPORT NEW POLICE DEPARTMENT,ATTN: (B6),100 CITY FARM ROAD,,NEWPORT NEWS,VA,23602
2/2/2004,ALABAMA DEPT OF CORRECTIONS,LIMESTONE CORRECTIONAL FAC.,ATTN: K-9,28779 NICK DAVIS ROAD,HARVEST,AL,35749
1/16/2004,EDINBORO BOROUGH POLICE DEPT,ATTN: K-9 UNIT,124 MEADVILLE STREET,,EDINBORO,PA,16412
2/10/2004,CITY OF SATELLITE BEACH,,LIEUTENANT (B6),510 CINNAMON DRIVE,SATELLITE BEACH,FL,32937
1/26/2004,SHELBURN POLICE DEPARTMENT,,25 NORTH RAILROAD STREET,,SHELBURN,IN,47879
3/5/2004,PLUM POLICE DEPARTMENT,,ATTN: K-9 OFFICER TEMPLE,4575 NEW TEXAS ROAD,PLUM,PA,15239
3/17/2004,LAKE MARY POLICE DEPARTMENT,,165 E. CRYSTAL LAKE AVENUE,,LAKE MARY,FL,32746
2/6/2004,TOWN OF AMHERST POLICE DEPT,,500 JOHN JAMES AUDUBON PKWY,,AMHERST,NY,14228
2/19/2004,LAW ENFORCEMENT ACTIVITY,CANINE HANDLER,MILITARY WORKING DOG KENNELS,BLDG D2450 KNIGHT AVE,FORT JACKSON,SC,29207
2/11/2004,PRECINCT 131,K-9 TRAINING FACILITY,(B6),4285 N. FORDNEY ROAD,HEMLOCK,MI,48626
3/4/2004,FAIRFAX COUNTY POLICE,,(B6)    K-9 TRAINER,14700 AVION PARKWAY SUITE 100,CHANTILLY,VA,20151
2/6/2004,WINNEBAGO COUNTY SHERIFF,,650 WEST STATE STREET,,ROCKFORD,IL,61102
4/2/2004,MARSHALLTOWN POLICE DEPT,,22 NORTH CENTER STREET,,MARSHALLTOWN,IA,50158
4/6/2004,BERKELEY COUNTY SHERIFF'S DEPARTMENT K-9 DIVISION,K-9 DIVISION,223 NORTH LIVE OAK DRIVE,,MONCKS CORNER,SC,29461
5/26/2004,U S BORDER PATROL,CHIEF PATROL AGENT,P.O. BOX 450040,"26000 SOUTH STREET,BLDG. 1516",SELFRIDGE ANGB,MI,48045
5/25/2004,KANSAS CITY KANSAS POLICE DPT,OPERATIONS -  NARCOTICS,700 MINNESOTA AVENUE,,KANSAS CITY,KS,66101
7/21/2004,ALABAMA DEPT OF CORRECTIONS,(B6),CORRECTIONAL/CO CAPT. (B6),303 WARRIOR LANE,BESSEMER,AL,35023
3/18/2004,SANDPOINT POLICE DEPARTMENT,,SANDPOINT POLICE DEPARTMENT,1123 LAKE STREET,SANDPOINT,ID,83864
3/18/2004,221ST/3RD MILITARY POLICE DETACHMENT,MILITARY WORKING DOG TRAINING,"BLDG. 899, MONROE AVENUE",,FORT EUSTIS,VA,23604
6/22/2005,MONTOUR COUNTY SHERIFFS OFFICE,,114 WOODBINE LANE,,DANVILLE,PA,17821
5/4/2004,JASPER COUNTY SHERIFF'S DEPT,,2171 NORTH MCKINLEY AVE,PO BOX 296,RENSSELAER,IN,47978
5/17/2004,ABET SECURITY SERVICES,,(B6),2728 E. VALLEY VIEW,WEST COVINA,CA,91792
5/17/2004,BENSON POLICE DEPARTMENT,K9 UNIT,360 S. GILA,PO BOX 2287,BENSON,AZ,85602
4/13/2004,217TH MILITARY POLICE DET,CANINE HANDLER,11028 38TH STREET,,FORT LEE,VA,23801
4/27/2004,RANDALL COUNTY SHERIFF'S OFFICE,,9100 SOUTH GEORGIA,,AMARILLO,TX,79118
5/25/2004,(B6),,UNIVERSITY OF TEXAS AT AUSTIN,2400 SPEEDWAY PAT 402,AUSTIN,TX,78712
5/18/2004,P A DEPT OF CORRECTIONS,DRUG INTERDICTION UNIT,K-9 ACADEMY,4395 QUEHANNA HIGHWAY,KARTHAUS,PA,16845
4/26/2004,HALTOM CITY POLICE DEPARTMENT,(B6),HALTOM CITY POLICE DEPARTMENT,5110 BROADWAY AVENUE,HALTOM CITY,TX,76117
4/20/2004,SUFFIELD POLICE DEPARTMENT,,OFFICER (B6),911 MOUNTAIN ROAD,SUFFIELD,CT,06078
4/15/2004,CINCINNATI POLICE DEPARTMENT,,SERGEANT (B6),800 EVANS STREET,CINCINNATI,OH,45204
8/3/2004,NOVATO POLICE DEPARTMENT,,909 MACHIN AVE,,NOVATO,CA,94945
1/19/2005,QUINCY POLICE DEPARTMENT,,110 SOUTH 8TH STREET,,QUINCY,IL,62301
5/12/2004,ROSS TOWNSHIP POLICE DEPT,,K-9 DIVISION,1000 ROSS MUNICIPAL DRIVE,PITTSBURGH,PA,15237
6/7/2004,LEBANON NEW HAMPSHIRE,POLICE DEPARTMENT,K-9 UNIT,36 POVERTY LANE,LEBANON,NH,03766
6/8/2004,LINN COUNTY SHERIFF'S OFFICE,SHERIFF (B6),P.O. BOX 669,310 2ND AVENUE SW,CEDAR RAPIDS,IA,52406
8/19/2004,UNIVERSITY OF CONNECTICUT,POLICE DEPARTMENT,ATTN: (B6),126 NORTH EAGLEVILLE ROAD,STORRS,CT,06268
9/21/2004,BIG HORN COUNTY SHERIFF'S OFFICE,"(B6), SHERIFF",415 MURPHY STREET,P. O. BOX 69,BASIN,WY,82410
9/23/2004,U S FOREST SERVICE,LAW ENFORCEMENT &,INVESTIGATIVE BRANCH,601 S. WEBER STREET,COLORADO SPRINGS,CO,80903
5/4/2004,BRANCH COUNTY,SHERIFF'S OFFICE,580 N MARSHALL ROAD,,COLDWATER,MI,49036
7/7/2004,WINDHAM POLICE DEPARTMENT,SERGEANT,375 GRAY ROAD,,WINDHAM,ME,04062
9/14/2004,CHESTERFIELD COUNTY SHERIFF'S OFFICE K-9 UNIT,SHERIFF (B6),203 WATSON STREET,,CHESTERFIELD,SC,29709
10/5/2004,CEDAR LAKE POLICE DEPARTMENT,,7408 CONSTITUTION AVENUE,P.O. BOX 305,CEDAR LAKE,IN,46303
10/12/2004,CITY OF THORNTON COLORADO,POLICE DEPARTMENT,(B6),9551 CIVIC CENTER DRIVE,THORNTON,CO,80229
8/3/2004,NEWTON COUNTY SHERIFF'S DEPARTMENT,,304 E. SEYMOUR STREET,,KENTLAND,IN,47951
10/12/2004,JOHNSON COUNTY SHERIFF DEPT,,(B6),639 FORT STREET,BUFFALO,WY,82834
7/20/2004,LEWIS COUNTY SHERIFF'S OFFICE,(B6),510 OAK STREET,ROOM  5,NEZPERCE,ID,83543
7/22/2004,HICKORY POLICE DEPARTMENT,,"347 2ND AVENUE, S.W.",,HICKORY,NC,28602
8/27/2004,(B6),"HILL COUNTRY DOG CENTER,LLC",2859 BEAR CREEK ROAD,,PIPE CREEK,TX,78063
8/11/2004,HORRY COUNTY POLICE DEPARTMENT K-9 UNIT,(B6) - CHIEF,2560 NORTH MAIN STREET,SUITE 7,CONWAY,SC,29526
10/26/2004,BAL HARBOUR VILLAGE,,ATTN: K-9 UNIT,655 96TH STREET,SURFSIDE,FL,33154
9/19/2005,CHARLESTOWN POLICE DEPARTMENT,CHARLESTOWN POLICE DEPARTMENT,701 MAIN STREET,,CHARLESTOWN,IN,47111
12/22/2006,LANESBOROUGH,POLICE DEPARTMENT,8 PROSPECT STREET,P.O. BOX 1560,LANESBOROUGH,MA,01237
8/31/2004,WOODRIDGE POLICE DEPARTMENT,ATTN: K-9 UNIT,1 PLAZA DRIVE,,WOODRIDGE,IL,60517
9/21/2004,HOLLY SPRINGS POLICE DEPT,ATTN: (B6),PO BOX 8,750 HOLLY SPRINGS ROAD,HOLLY SPRINGS,NC,27540
1/14/2005,CLINTON POLICE DEPARTMENT,,125 WEST BROAD STREET,,CLINTON,TN,37716
2/17/2005,SOUTHERN STAR RANCH K9,,TRAINING CENTER,11701 N. HIGHWAY 183,FLORENCE,TX,76527
12/9/2004,WYOMING DEPARTMENT OF CORRECTIONS K-9 UNIT,MAJOR (B6),1934 WYOTT DR,SUITE 100,CHEYENNE,WY,82002
11/1/2004,DEPARTMENT OF CORRECTION AND REHABILITATION,UNIDAD CANINA OPERACIONES TACTICAS,COMPLEJO CORRECIONAL BAYAMON,P.O. BOX 60-307,BAYAMON,PR,00960
4/13/2005,HARRISON POLICE DEPARTMENT,,650 NORTH ST,,HARRISON,NY,10528
9/28/2004,LEAWOOD POLICE DEPARTMENT,,4201 TOWN CENTER DR,,LEAWOOD,KS,66211
12/15/2004,CITY OF MURRAY POLICE DEPT.,,407 POPLAR,,MURRAY,KY,42071
11/29/2004,VERSAILLES POLICE DEPARTMENT,ATTN: K-9 UNIT,118 WEST WATER STREET,P.O. BOX 217,VERSAILLES,IN,47042
10/27/2004,NUECES COUNTY SHERIFF'S DEPT,,901 LEOPARD STREET,,CORPUS CHRISTI,TX,78401
11/29/2004,DYER POLICE DEPARTMENT,,2150 HART STREET,,DYER,IN,46311
10/28/2004,MIDDLEBURY POLICE DEPARTMENT,,200 SOUTHFORD ROAD,,MIDDLEBURY,CT,06762
1/7/2005,DESOTO PARISH SHERIFFS OFFICE,NARCOTICS DETECTOR CANINE UNIT,205 FRANKLIN STREET,,MANSFIELD,LA,71052
12/9/2004,WHITE SETTLEMENT POLICE DEPT.,ATTN: K9,8900 CLIFFORD STREET,,WHITE SETTLEMENT,TX,76108
3/1/2005,(B6),C1725,NEUROSCIENCE RESEARCH CENTER,8701 WATERTOWN PLANK ROAD,MILWAUKEE,WI,53226
11/18/2004,WINDSOR POLICE DEPARTMENT,ATTN: K-9 UNIT - (B6),340 BLOOMFIELD AVENUE,,WINDSOR,CT,06095
12/7/2004,MA DEPT OF CORRECTIONS,ATTN: (B6),12 ADMINISTRATION ROAD,PO BOX499,BRIDGEWATER,MA,02324
11/16/2004,BRAZOS COUNTY PRECINCT 1,,12845 FM 2154,SUITE 140,COLLEGE STATION,TX,77845
2/4/2005,OCHILTREE COUNTY SHERIFF'S OFFICE,,P.O. BOX 1108,21 S.E. 6TH STREET,PERRYTON,TX,79070
10/6/2005,ORANGE COUNTY SHERIFF'S OFFICE,(B6),8600 VALENCIA COLLEGE LANE,,ORLANDO,FL,32825
3/29/2005,MARQUETTE CITY POLICE,,(B6),300 W BARAGA STREET,MARQUETTE,MI,49855
11/30/2004,NORWICH POLICE DEPARTMENT,,70 THAMES STREET,,NORWICH,CT,06360
1/4/2005,DEER LODGE SHERIFF'S OFFICE CANINE UNIT,"ATTN: UNDERSHERIFF (B6), CANINE HANDLER",313 4TH STREET,,DEER LODGE,MT,59722
2/8/2005,"TDCJ, REGION V",(B6),304 WEST 6TH STREET,,PLAINVIEW,TX,79072
1/24/2005,NAPA COUNTY SHERIFF'S DEPT.,,1535 AIRPORT BLVD.,,NAPA,CA,94558
1/13/2005,NAPERVILLE POLICE DEPARTMENT,ATTN: COMMANDER B6- K9 UNIT,1350 AURORA AVENUE,,NAPERVILLE,IL,60540
1/18/2005,WESTMINSTER POLICE DEPARTMENT,K9 SERGEANT,9110 YATES ST,,WESTMINSTER,CO,80031
1/12/2005,KAUAI POLICE DEPARTMENT,ATTN: K-9 UNIT,3990 KAANA STREET,SUITE 200,LIHUE,HI,96766
2/16/2005,HENRICO COUNTY POLICE DEPARTMENT,,7721 E. PARHAM ROAD,,RICHMOND,VA,23273
1/24/2005,MARYLAND HEIGHTS POLICE DEPARTMENT,(B6),11911 DORSETT RD,,MARYLAND HEIGHTS,MO,63043
1/26/2005,MARION POLICE DEPARTMENT,,301 S. BRANSON STREET,,MARION,IN,46952
5/4/2005,"PATHEON API MANUFACTURING, INC.,MAIN OFFICE",,309 DELAWARE STREET,,GREENVILLE,SC,29605
3/22/2005,OSCEOLA COUNTY SHERIFF'S DEPT,,309 6TH STREET,,SIBLEY,IA,51249
2/28/2005,SUMMIT COUNTY SHERIFF OFFICE,ATTN: SERGEANT (B6),6300 NORTH SILVER CREEK DRIVE,,PARK CITY,UT,84098
2/24/2005,JACKSON COUNTY SHERIFF'S OFFICE,,104 S. NIAGARA STREET,,MAQUOKETA,IA,52060
2/24/2005,NEWTOWN CT POLICE DEPARTMENT,SERGEANT (B6),3 MAIN STREET,,NEWTOWN,CT,06470
2/17/2005,SHELBYVILLE POLICE DEPARTMENT,,105 W. TAYLOR STREET,,SHELBYVILLE,IN,46176
2/16/2005,WINCHESTER POLICE DEPARTMENT,CHIEF OF POLICE,113 EAST WASHINGTON STREET,,WINCHESTER,IN,47394
4/29/2005,ELKO COUNTY SHERIFF OFFICE,K9 SGT. (B6),775 WEST SILVER STREET,,ELKO,NV,89801
2/22/2005,(B6),,DAVIESS COUNTY SHERIFF'S OFFICE,212 SAINT ANN STREET,OWENSBORO,KY,42303
5/6/2005,JACKSON COUNTY COMMUNITY JUSTICE,,1101 W MAIN STREET,SUITE 101,MEDFORD,OR,97501
2/15/2005,OROFINO POLICE DEPARTMENT,,217 FIRST STREET,PO BX 2603,OROFINO,ID,83544
5/31/2005,SALMON POLICE DEPARTMENT,,ATTN: K-9 UNIT,200 MAIN STREET,SALMON,ID,83467
6/2/2005,WICHITA FALLS POLICE DEPARTMENT,(B6),610 HOLLIDAY STREET,,WICHITA FALLS,TX,76301
5/25/2005,SIGMA-ALDRICH CO. LLC,SIGMA ALDRICH,2425 SOUTH SECOND STREET,,SAINT LOUIS,MO,63104
5/20/2005,SA INTL GMBH C/O,SIGMA ALDRICH MANUFACTURING LLC,2425 SOUTH SECOND STREET,,SAINT LOUIS,MO,63104
6/13/2005,CAMBRIDGE ISOTOPE LABORATORIES,,50 FRONTAGE RD,,ANDOVER,MA,01810
6/3/2005,SHARPSVILLE POLICE DEPT,,1 SOUTH WALNUT STREET,,SHARPSVILLE,PA,16150
3/14/2005,ROCKLEDGE POLICE DEPT,,CANINE HANDLER,1776 JACK OATES BLVD,ROCKLEDGE,FL,32955
2/28/2005,(B6),,BETHANY POLICE DEPARTMENT,6714 NW 36TH STREET,BETHANY,OK,73008
5/26/2005,UNITED STATES PARK POLICE,NEW YORK FIELD OFFICE,(B6),275 FLOYD BENNETT FIELD,BROOKLYN,NY,11234
5/20/2005,US NAVY WEAPONS STATION EARLE,,201 HIGHWAY 34,,COLTS NECK,NJ,07722
9/7/2005,DARIEN POLICE DEPT,,1710 PLAINFIELD ROAD,,DARIEN,IL,60561
9/1/2005,RICHFIELD TOWNSHIP POLICE DEPARTMENT,,1410 NORTH SAINT HELEN ROAD,PO BOX 128,SAINT HELEN,MI,48656
3/23/2005,EDINBURG POLICE DEPARTMENT,,1702 S. CLOSNER,,EDINBURG,TX,78539
5/2/2005,MANISTIQUE PUBLIC SAFETY DEPARTMENT,(B6),300 NORTH MAPLE STREET,,MANISTIQUE,MI,49854
4/26/2005,SAN ANGELO POLICE DEPARTMENT,,(B6),401 E. BEAUREGARD,SAN ANGELO,TX,76903
6/17/2005,"STORM DOG K9 TRAINING, L.L.C.",,3024 N. 3 B'S AND K ROAD,,SUNBURY,OH,43074
5/11/2005,CAROLINA BEACH POLICE DEPARTMENT,ATTN: K-9 UNIT,1121 NORTH LAKE PARK BLVD.,,CAROLINA BEACH,NC,28428
4/5/2005,CHESAPEAKE WASTE SOLUTIONS,,190 SHELLYLAND ROAD,,MANHEIM,PA,17545
4/5/2006,(B6),EDMOND POLICE DEPARTMENT,101 EAST FIRST STREET,,EDMOND,OK,73034
7/20/2005,(B6),CENTER FOR DRUG DISCOVERY,NORTHEASTERN UNIVERSITY,360 HUNTINGTON AVE  116-MU,BOSTON,MA,02115
4/13/2005,NEWTOWN TOWNSHIP POLICE DEPARTMENT,,209 BISHOP HOLLOW ROAD,,NEWTOWN SQUARE,PA,19073
5/26/2005,PALMVIEW POLICE DEPARTMENT,(B6),400 W VETERANS BLVD.,,PALMVIEW,TX,78572
6/20/2005,VILLAGE OF BROWN DEER POLICE DEPARTMENT,,4800 WEST GREEN BROOK DRIVE,,BROWN DEER,WI,53223
8/22/2005,WASHINGTON COUNTY SHERIFF'S OFFICE,ATTN: K-9 UNIT,"10210 GOVERNOR LANE BLVD, SUIT",POST OFFICE BOX 622,MAUGANSVILLE,MD,21767
5/18/2005,LANSING POLICE DEPARTMENT,(B6),120 W. MICHIGAN AVE,K-9 UNIT,LANSING,MI,48933
6/3/2005,REDWOOD COUNTY SHERIFF OFFICE,ATTN: K-9 UNIT,303 EAST 3RD STREET,P.O. BOX 47,REDWOOD FALLS,MN,56283
8/26/2005,KINGSPORT POLICE DEPARTMENT,(B6),200 SHELBY STREET,,KINGSPORT,TN,37660
6/6/2005,ANSONIA POLICE DEPARTMENT,,2 ELM STREET,,ANSONIA,CT,06401
6/20/2005,MADISON COUNTY SHERIFF'S OFFICE,,P.O. BOX 276,100 WEST WALLACE,VIRGINIA CITY,MT,59755
5/3/2006,"US DEPT OF AGRICULTURE,HYDROLOGY & REMOTE SENSING LAB",USDA-ARS,10300 BALTIMORE AVE,BLDG 007 RM 104,BELTSVILLE,MD,20705
6/27/2005,WHEELER COUNTY SHERIFF'S DPT,,301 3RD STREET,P.O. BOX 127,BARTLETT,NE,68622
8/16/2005,ROSCOMMON COUNTY SHERIFF'S OFFICE,ATTN: K-9 UNIT,111 SOUTH SECOND STREET,,ROSCOMMON,MI,48653
6/16/2005,VERMONT POLICE ACADEMY,,317 ACADEMY RD,,PITTSFORD,VT,05763
10/6/2005,(B6),SUFFOLK COUNTY SHERIFF'S K-9 UNIT,20 BRADSTON STREET,,BOSTON,MA,02118
